국가별,시점,확진자수[명],사망자수[명]
아프가니스탄,2020. 09. 21,39044,1441
아프가니스탄,2020. 09. 22,39074,1444
아프가니스탄,2020. 09. 23,39074,1444
아프가니스탄,2020. 09. 24,39096,1445
아프가니스탄,2020. 09. 25,39170,1451
아프가니스탄,2020. 09. 26,39170,1451
아프가니스탄,2020. 09. 27,39186,1451
아프가니스탄,2020. 09. 28,39227,1453
아프가니스탄,2020. 09. 29,39227,1453
아프가니스탄,2020. 09. 30,39254,1458
아프가니스탄,2020. 10. 01,39268,1458
아프가니스탄,2020. 10. 03,39285,1458
아프가니스탄,2020. 10. 04,39290,1458
아프가니스탄,2020. 10. 05,39341,1462
아프가니스탄,2020. 10. 06,39422,1466
아프가니스탄,2020. 10. 07,39422,1466
아프가니스탄,2020. 10. 08,39486,1467
아프가니스탄,2020. 10. 09,39616,1470
아프가니스탄,2020. 10. 10,39693,1472
아프가니스탄,2020. 10. 11,39703,1473
아프가니스탄,2020. 10. 12,39799,1477
아프가니스탄,2020. 10. 13,39799,1477
아프가니스탄,2020. 10. 14,39928,1480
아프가니스탄,2020. 10. 15,39928,1480
아프가니스탄,2020. 10. 16,39994,1481
아프가니스탄,2020. 10. 17,40026,1481
아프가니스탄,2020. 10. 18,40073,1485
아프가니스탄,2020. 10. 19,40141,1488
아프가니스탄,2020. 10. 20,40200,1492
아프가니스탄,2020. 10. 21,40287,1497
아프가니스탄,2020. 10. 23,40510,1501
아프가니스탄,2020. 10. 25,40687,1507
아프가니스탄,2020. 10. 26,40768,1511
아프가니스탄,2020. 10. 27,40833,1514
아프가니스탄,2020. 10. 28,40937,1518
아프가니스탄,2020. 10. 29,41032,1523
아프가니스탄,2020. 10. 30,41145,1529
아프가니스탄,2020. 10. 31,41268,1532
아프가니스탄,2020. 11. 01,41334,1533
아프가니스탄,2020. 11. 03,41501,1536
아프가니스탄,2020. 11. 04,41633,1541
아프가니스탄,2020. 11. 05,41728,1544
아프가니스탄,2020. 11. 06,41814,1548
아프가니스탄,2020. 11. 07,41935,1554
아프가니스탄,2020. 11. 09,42033,1556
아프가니스탄,2020. 11. 11,42297,1574
아프가니스탄,2020. 11. 12,42463,1577
아프가니스탄,2020. 11. 13,42609,1581
아프가니스탄,2020. 11. 14,42795,1591
아프가니스탄,2020. 11. 15,42969,1595
아프가니스탄,2020. 11. 16,43035,1605
아프가니스탄,2020. 11. 17,43240,1617
아프가니스탄,2020. 11. 18,43403,1626
아프가니스탄,2020. 11. 19,43628,1638
아프가니스탄,2020. 11. 20,43851,1645
아프가니스탄,2020. 11. 21,44228,1650
아프가니스탄,2020. 11. 22,44443,1661
아프가니스탄,2020. 11. 25,44988,1695
아프가니스탄,2020. 11. 26,45278,1712
아프가니스탄,2020. 11. 27,45490,1725
아프가니스탄,2020. 11. 28,45716,1737
아프가니스탄,2020. 11. 29,45839,1740
아프가니스탄,2020. 12. 01,46215,1763
아프가니스탄,2020. 12. 02,46498,1774
아프가니스탄,2020. 12. 03,46717,1795
아프가니스탄,2020. 12. 04,46980,1822
아프가니스탄,2020. 12. 06,47388,1847
아프가니스탄,2020. 12. 07,47641,1865
아프가니스탄,2020. 12. 08,47901,1875
아프가니스탄,2020. 12. 09,48136,1902
아프가니스탄,2020. 12. 10,48366,1908
아프가니스탄,2020. 12. 11,48540,1921
아프가니스탄,2020. 12. 12,48753,1939
아프가니스탄,2020. 12. 13,48826,1949
아프가니스탄,2020. 12. 14,48952,1960
아프가니스탄,2020. 12. 15,49273,1971
아프가니스탄,2020. 12. 17,49703,2001
아프가니스탄,2020. 12. 19,49927,2017
아프가니스탄,2020. 12. 20,50456,2037
아프가니스탄,2020. 12. 21,50536,2054
아프가니스탄,2020. 12. 22,50678,2074
아프가니스탄,2020. 12. 23,50888,2089
아프가니스탄,2020. 12. 24,51070,2105
아프가니스탄,2020. 12. 25,51357,2126
아프가니스탄,2020. 12. 26,51595,2135
아프가니스탄,2020. 12. 27,51764,2148
아프가니스탄,2020. 12. 28,51848,2158
아프가니스탄,2020. 12. 29,52007,2170
아프가니스탄,2020. 12. 30,52147,2182
아프가니스탄,2020. 12. 31,52330,2189
바레인,2020. 05. 01,3037,8
바레인,2020. 05. 02,3169,8
바레인,2020. 05. 03,3243,8
바레인,2020. 05. 04,3356,8
바레인,2020. 05. 05,3464,8
바레인,2020. 05. 06,3679,8
바레인,2020. 05. 07,3842,8
바레인,2020. 05. 08,4131,8
바레인,2020. 05. 09,4404,8
바레인,2020. 05. 10,4595,8
바레인,2020. 05. 11,4856,8
바레인,2020. 05. 12,5157,8
바레인,2020. 05. 13,5409,9
바레인,2020. 05. 14,5780,9
바레인,2020. 05. 15,6069,10
바레인,2020. 05. 16,6418,10
바레인,2020. 05. 17,6655,12
바레인,2020. 05. 18,6930,12
바레인,2020. 05. 19,7156,12
바레인,2020. 05. 20,7374,12
바레인,2020. 05. 21,7532,12
바레인,2020. 05. 22,8039,12
바레인,2020. 05. 23,8338,12
바레인,2020. 05. 24,8774,12
바레인,2020. 05. 25,9093,13
바레인,2020. 05. 26,9164,14
바레인,2020. 05. 27,9223,14
바레인,2020. 05. 28,9633,15
바레인,2020. 05. 29,9977,15
바레인,2020. 05. 30,10352,15
바레인,2020. 05. 31,10740,15
바레인,2020. 06. 01,11288,18
바레인,2020. 06. 02,11804,19
바레인,2020. 06. 03,12229,19
바레인,2020. 06. 04,12311,20
바레인,2020. 06. 05,13229,21
바레인,2020. 06. 06,13733,22
바레인,2020. 06. 07,14224,23
바레인,2020. 06. 08,14745,25
바레인,2020. 06. 09,15417,26
바레인,2020. 06. 10,15731,29
바레인,2020. 06. 11,16200,30
바레인,2020. 06. 12,16667,32
바레인,2020. 06. 13,17269,36
바레인,2020. 06. 14,17713,37
바레인,2020. 06. 15,18227,41
바레인,2020. 06. 16,18544,46
